produto,menor preco,maior preco,sem medalha
Seringa 03mL Bico Luer Lock (rosca)- Descarpack,,,
Seringa 20ml Bico Luer Lock ( rosca) - Descarpack,,,
Seringa 10ml Bico Luer Slip - Descarpack,,,
Cateter Abocath 16G (1.7 x 45mm) Descarpack,,,
